FLOJA;IDPEDIDO;IDFORN;FDATAEMI;FVALCOMPRA
1;"C18962N587397F18";18;08/02/2023;929.97
1;"C15963N56100F15";15;08/02/2023;370.00
1;"C906964N162146F906";906;08/02/2023;528.66
1;"C78965N120596F78";78;08/02/2023;115.00
1;"C778966N124843F778";778;08/02/2023;2254.90
1;"C11967N339386F11";11;08/02/2023;42374.22
1;"C12968N46486F12";12;08/03/2023;998.00
1;"C2969N99284F2";2;08/04/2023;1291.75
1;"C402970N213255F402";402;08/04/2023;4833.95
1;"C5971N1092257F5";5;08/07/2023;1502.79
1;"C778972N125080F778";778;08/07/2023;1624.92
1;"C5973N1092387F5";5;08/07/2023;177.08
1;"C182976N-6462F1182";1182;08/10/2023;9236.09
1;"C5977N1092526F5";5;08/10/2023;287.86
1;"C169978N900095078F1169";1169;08/10/2023;110.00
1;"C16979N267947F16";16;08/10/2023;1770.24
1;"C5980N1092819F5";5;08/10/2023;868.20
1;"C346981N27210F346";346;08/11/2023;21565.05
1;"C15982N56458F15";15;08/11/2023;165.00
1;"C187983N595F1187";1187;08/11/2023;5800.00
1;"C0N14276F883";883;08/11/2023;1352.34
1;"C0N14581F883";883;08/11/2023;409.28
1;"C906984N166173F906";906;08/15/2023;4390.00
1;"C13985N161377F13";13;08/15/2023;4341.53
1;"C13986N161323F13";13;08/15/2023;4373.92
1;"C906987N165424F906";906;08/15/2023;1836.00
1;"C906989N166638F906";906;08/15/2023;2372.08
1;"C38990N16468F1038";1038;08/15/2023;390.38
1;"C16991N268278F16";16;08/15/2023;524.16
1;"C16993N268277F16";16;08/15/2023;1206.04
1;"C16994N268280F16";16;08/15/2023;3598.59
1;"C15996N56541F15";15;08/15/2023;215.64
1;"C12997N46673F12";12;08/16/2023;771.19
1;"C165998N1934F1165";1165;08/17/2023;148.00
1;"C38999N16577F1038";1038;08/17/2023;222.27
1;"C679001N12076F679";679;08/21/2023;410.00
1;"C13002N161481F13";13;08/21/2023;3674.54
1;"C189003N626047F189";189;08/21/2023;1800.00
1;"C189004N625685F189";189;08/21/2023;13200.00
1;"C778005N126296F778";778;08/21/2023;2052.53
1;"C33006N87085F33";33;08/21/2023;242.00
1;"C906007N167933F906";906;08/21/2023;231.15
1;"C108008N923314F108";108;08/21/2023;83318.66
1;"C15009N56677F15";15;08/21/2023;277.00
1;"C188010N44297F1188";1188;08/21/2023;4000.00
1;"C326011N10882F326";326;08/21/2023;152.00
1;"C38012N16770F1038";1038;08/23/2023;316.90
1;"C778013N126545F778";778;08/23/2023;1694.88
1;"C108014N924405F108";108;08/23/2023;15343.44
1;"C693015N3805F693";693;08/23/2023;3507.56
1;"C0N21239F732";732;08/23/2023;240.00
1;"C602016N297729F602";602;08/24/2023;27789.72
1;"C836017N160345F836";836;08/25/2023;2658.24
1;"C778018N126924F778";778;08/25/2023;3689.84
1;"C78019N121414F78";78;08/28/2023;1857.07
1;"C523020N4825F523";523;08/28/2023;21200.00
1;"C5021N1094226F5";5;08/28/2023;594.86
1;"C961022N1833F961";961;08/28/2023;18.00
