IDPEDIDO;PCOD;QTDCOMPRA;VLCOMPRA;PCFOP
"C18962N587397F18";1936;103.440;929.9700;"1401"comp
"C15963N56100F15";52;3.000;44.4600;"1401"
"C15963N56100F15";180;24.000;13.4500;"1401"
"C15963N56100F15";616;30.000;16.6700;"1401"
"C15963N56100F15";4147;2.000;54.3200;"1102"
"C15963N56100F15";2294;52.000;4.9400;"1401"
"C15963N56100F15";3615;52.000;12.0000;"1401"
"C15963N56100F15";2713;5.000;1.0600;"1401"vl
"C15963N56100F15";5673;5.000;3.6800;"1407"
"C15963N56100F15";5674;200.000;22.1800;"1556"
"C15963N56100F15";745;500.000;148.2000;"1401"
"C15963N56100F15";3763;1.000;3.0000;"1401"
"C15963N56100F15";3178;2.000;10.6000;"1556"
"C15963N56100F15";5672;1.000;35.4400;"1556"
"C906964N162146F906";188;14.400;440.5600;"1401"
"C906964N162146F906";403;1.000;88.1000;"1407"
"C78965N120596F78";1232;13.000;115.0000;"1401"
"C778966N124843F778";3962;251.680;2254.9000;"1401"
"C11967N339386F11";5509;4118.000;42374.2200;"2101"
"C12968N46486F12";619;188.939;998.0000;"1556"
"C2969N99284F2";403;10.000;208.7500;"1407"
"C2969N99284F2";599;15.000;442.5000;"1401"
"C2969N99284F2";1200;1.000;230.0000;"1101"
"C2969N99284F2";5675;12.000;312.0000;"1556"
"C2969N99284F2";4407;1.000;19.0000;"1401"
"C2969N99284F2";1658;1.000;59.0000;"1101"
"C2969N99284F2";2113;2.000;20.5000;"1556"
"C402970N213255F402";4958;1.000;662.2000;"1556"
"C402970N213255F402";165;40.000;2799.0400;"1401"
"C402970N213255F402";87;40.000;393.0600;"1401"
"C402970N213255F402";4171;4000.000;945.9700;"1401"
"C402970N213255F402";5676;1.000;33.6800;"1101"
"C5971N1092257F5";584;28.800;881.1200;"1403"
"C5971N1092257F5";186;30.000;405.4800;"1102"
"C5971N1092257F5";188;3.600;110.1400;"1401"
"C5971N1092257F5";890;5.000;106.0500;"1556"
"C778972N125080F778";159;57.000;449.9700;"1101"
"C778972N125080F778";662;109.550;1174.9500;"1101"
"C5973N1092387F5";403;10.000;177.0800;"1407"
"C24352N5040F1185";3821;2.000;800.0000;"1201"
"C182976N-6462F1182";5681;1.000;913.2000;"0000"
"C182976N-6462F1182";3998;453.600;2930.2600;"0000"
"C182976N-6462F1182";690;360.000;3261.6000;"0000"
"C182976N-6462F1182";949;239.616;2324.5700;"0000"
"C5977N1092526F5";188;7.200;220.2800;"1401"
"C5977N1092526F5";186;5.000;67.5800;"1102"
"C169978N900095078F1169";3860;10.000;110.0000;"1556"
"C16979N267947F16";7;25.200;212.3400;"1101"
"C16979N267947F16";16;14.000;117.9000;"1101"
"C16979N267947F16";146;162.000;1440.0000;"1101"
"C5980N1092819F5";584;21.600;660.8400;"1403"
"C5980N1092819F5";186;15.000;207.3600;"1102"
