PCOD;PDIVISAO;PPRINCFORN;PREF;PMARCAMODE;PDESC;PUNIDADE;PVLUVEN3;PVLUVENDA;SALDO
1;"0118";13;"";"";"ARAME MIG 0.80 MM";"KG";11.96;69.543;0
2;"0118";5;"";"";"ARAME MIG 1.00 MM";"KG";99.71;99.714;0
3;"0118";2;"";"";"ARAME MIG 1.20 MM ALUMINIO";"KG";26.06;70.974;9.122
4;"0124";5;"";"";"BARRA CHATA 1/2 X 1/8";"KG";12.74;20.000;0
5;"0124";5;"";"";"BARRA CHATA 1/2 X 3/16";"KG";8.57;8.570;1.208
6;"0124";5;"";"";"BARRA CHATA 3/4 X 1/8";"KG";3.18;3.563;0
7;"0124";16;"";"";"BARRA CHATA 3/4 X 3/16";"KG";8.14;11.040;98.213
8;"0124";5;"";"";"BARRA CHATA 3/4 X 1/4";"KG";0.85;1.209;0
9;"0124";5;"";"";"BARRA CHATA 7/8 X 1/8";"KG";3.69;6.891;0
10;"0124";5;"";"";"BARRA CHATA 7/8 X 3/16";"KG";6.02;6.629;0
13;"0124";5;"";"";"BARRA CHATA 1 X 3/16";"KG";8.28;10.910;13.075
15;"0124";5;"";"";"BARRA CHATA 1.1/4 X 1/8";"KG";7.52;10.140;4.790
16;"0124";18;"";"";"BARRA CHATA 1.1/4 X 3/16";"KG";8.87;22.000;23.774
19;"0124";5;"";"";"BARRA CHATA 1.1/2 X 3/16";"KG";8.86;10.060;17.400
20;"0124";5;"";"";"BARRA CHATA 1.1/2 X 1/4";"KG";6.79;11.284;16.407
21;"0124";5;"";"";"BARRA CHATA 2 X 1/8";"KG";5.00;78.674;0
22;"0124";5;"";"";"BARRA CHATA 2 X 3/16";"KG";6.63;7.580;0
23;"0124";13;"";"";"BARRA CHATA 2 X 1/4";"KG";10.94;28.000;0
24;"0124";5;"";"";"BARRA CHATA 2 X 5/16";"KG";4.77;6.891;0
25;"0124";5;"";"";"BARRA CHATA 2 X 3/8";"KG";9.29;10.430;0
26;"0124";5;"";"";"BARRA CHATA 2 X 1/2";"KG";9.88;24.000;0
28;"0124";5;"";"";"BARRA CHATA 2.1/2 X 5/16";"KG";7.80;20.000;0
29;"0124";5;"";"";"BARRA CHATA 2.1/2 X 3/8";"KG";4.82;6.891;0
31;"0124";5;"";"";"BARRA CHATA 3 X 1/4";"KG";8.66;10.640;0
32;"0124";5;"";"";"BARRA CHATA 3 X 5/16";"KG";4.82;6.891;0
35;"0124";5;"";"";"BARRA CHATA 4 X 1/4";"KG";4.82;6.891;0
36;"0127";35;"";"";"BARRA LAM R/DIR. 1.1/4 TUBOLAR";"KG";17.91;45.000;0
37;"0138";346;"";"";"BARRA LAM R/DIREITA 5/8";"KG";11.61;12.968;1524.484
38;"0138";346;"";"";"BARRA LAM R/ESQUERDA 5/8";"KG";11.60;12.000;0
40;"0127";5;"";"";"BARRA QUADRADA 1/2";"KG";4.33;7.911;0
41;"0122";5;"";"";"BARRA RED.MEC. 1/4";"KG";11.70;11.700;0
42;"0122";16;"";"";"BARRA RED.MEC. 5/16";"KG";9.39;9.970;0
43;"0122";5;"";"";"BARRA RED.MEC. 3/8";"KG";6.79;20.910;236.571
44;"0122";16;"";"";"BARRA RED.MEC. 1/2";"KG";8.22;13.940;0
45;"0122";5;"";"";"BARRA RED.MEC. 5/8";"KG";8.14;11.580;0
46;"0122";16;"";"";"BARRA RED.MEC. 3/4";"KG";8.14;15.675;0
47;"0122";5;"";"";"BARRA RED.MEC. 7/8";"KG";9.56;8.171;0
48;"0122";18;"";"";"BARRA RED.MEC. 1'";"KG";8.14;10.490;136.350
49;"0127";5;"";"";"BARRA ROSC. GALV. 1/4";"M";8.62;655.120;0
50;"0127";5;"";"";"BARRA ROSC. GALV. 5/16";"M";3.91;21.082;0
51;"0127";5;"";"";"BARRA ROSC. GALV. 3/8";"M";9.10;25.000;1.000
52;"0127";5;"";"";"BARRA ROSC. GALV. 1/2";"M";14.82;22.500;12.450
53;"0127";5;"";"";"BARRA ROSC. GALV. 5/8";"M";37.00;37.000;0
58;"0123";5;"";"";"CANTONEIRA L 3/4 X 1/8";"KG";10.65;11.100;10.500
59;"0123";5;"";"";"CANTONEIRA L 7/8 X 1/8";"KG";7.52;10.000;0
60;"0123";13;"";"";"CANTONEIRA L 1 X 1/8";"KG";8.57;17.000;941.026
