FLOJA;IDPEDIDO;IDCLI;SI_CAIXA;SI_NUMFECH;FDATAEMI;HORA;FVALVENDA;FVALDEV;FDESCONTO;FSUBSIDIO;FCOMISSAO;FVALLOCA;FVENDEDOR;FGDEV;FCODOP;FG_FAT;FTV;FTIPOVEN;FTIPODIG;COD_MOD;FVALES;FVALCH;FVALCT;FVALCV;FVALCA;FCARTAO
1;"V24246C831";831;1;2163;08/01/2023;"09:10";319.84;0.00;0.00;0.00;12.79;0.00;8;"V";"5.933";"S";"S";"5";"S";"55";0.00;0.00;0.00;0.00;319.84;0
1;"V24252C1736";1736;1;2163;08/01/2023;"14:20";1100.00;0.00;0.00;0.00;44.00;0.00;8;"V";"5.101";"S";"S";"5";"S";"55";0.00;0.00;0.00;0.00;1100.00;0
1;"V24258C1119";1119;1;2163;08/01/2023;"16:54";750.00;0.00;0.00;0.00;30.00;0.00;8;"V";"5.101";"S";"S";"5";"M";"55";0.00;0.00;0.00;0.00;750.00;0
1;"V24260C1336";1336;1;2163;08/02/2023;"08:12";2090.00;0.00;0.00;0.00;69.60;0.00;8;"V";"5.101";"C";"S";"5";"M";"55";0.00;0.00;0.00;0.00;2090.00;0
1;"V24264C831";831;1;2163;08/02/2023;"08:48";5979.96;0.00;0.00;0.00;239.20;0.00;8;"V";"5.405";"S";"S";"5";"V";"55";0.00;0.00;0.00;-142485.42;148465.38;0
1;"V24265C1336";1336;1;2163;08/02/2023;"08:58";2070.00;0.00;0.00;0.00;69.60;0.00;8;"V";"5.101";"S";"S";"5";"M";"55";0.00;0.00;0.00;0.00;2070.00;0
1;"V24266C351";351;1;2163;08/02/2023;"09:06";600.00;0.00;0.00;0.00;24.00;0.00;8;"V";"5.101";"S";"S";"5";"M";"55";0.00;0.00;0.00;0.00;600.00;0
1;"V24268C1754";1754;1;2163;08/02/2023;"09:08";370.00;0.00;0.00;0.00;14.80;0.00;8;"V";"5.101";"S";"";"5";"M";"55";0.00;0.00;0.00;0.00;370.00;0
1;"V24271C831";831;1;2163;08/02/2023;"10:26";3751.90;0.00;0.00;0.00;150.08;0.00;8;"V";"5.101";"S";"S";"5";"V";"55";0.00;0.00;0.00;0.00;3751.90;0
1;"V24272C831";831;1;2163;08/02/2023;"10:26";3751.90;0.00;0.00;0.00;150.08;0.00;8;"V";"5.101";"S";"S";"5";"V";"55";0.00;0.00;0.00;0.00;3751.90;0
