IDFORN;NOMEFORN;CP_CIDADE;UF
1;"DEB NOTAS CRED";"";"PB"
2;"GRANFER";"CABEDELO";"PB"
3;"SUL CORTE";"VALINHOS";"SP"
4;"SOS OXIGENIO";"Joao Pessoa";"PB"
5;"LDF MAT. CONSTR";"CABEDELO";"PB"
6;"QUALITECH INFOR";"JOAO PESSOA";"PB"
7;"TODA HORA PARAI";"CABEDELO";"PB"
9;"CARREFOUR";"JOAO PESSOA";"PB"
10;"METALURGICA FER";"Para de Minas";"MG"
11;"PRD";"LINHARES";"ES"
14;"NATALTEC";"JOAO PESSOA";"PB"
16;"MEGA NORDESTE";"BAYEUX";"PB"
17;"O MESTRE";"CABEDELO";"PB"
19;"BOMPRECO";"JOAO PESSOA";"PB"
31;"MISTER TEM";"Joao Pessoa";"PB"
33;"SEGURA EPI";"CABEDELO";"PB"
36;"WURTH";"JOAO PESSOA";"PB"
37;"CIMAG ROLAMENTO";"JOAO PESSOA";"PB"
40;"GIMASA  INDUSTR";"Bayeux";"PB"
42;"POLIMIX";"CABEDELO";"PB"
46;"NETO LOCACOES";"JOAO PESSOA";"PB"
47;"JS DISTRIBUIDOR";"BAYEUX";"PB"
48;"PEREIRA BRITO";"SAO PAULO";"SP"
51;"CARAJAS";"JOAO PESSOA";"PB"
54;"FORNECEDOR";"";"PB"
56;"TRANSMEDEIROS";"OLINDA";"PE"
57;"ANALISIS";"JOAO PESSOA";"PB"
59;"CARTUCHO EXPRES";"JOAO PESSOA";"PB"
60;"GOVERNO PB";"";"PB"
61;"SERMATEC";"JOAO PESSOA";"PB"
64;"ENERGISA";"JOAO PESSOA";"PB"
67;"FGTS";"";"PB"
69;"SIMPLES NACIONA";"";"PB"
71;"ANA RITA";"JOAO PESSOA";"PB"
72;"MINISTERIO DA F";"";"PB"
73;"VIANEZ GUIMARAE";"JOAO PESSOA";"PB"
74;"FRETE DE TEDSON";"JOAO PESSOA";"PB"
77;"ORLANDO RODRUGU";"JOAO PESSOA";"PB"
78;"ALUMIFER";"JOAO PESSOA";"PB"
81;"POLYTEX METALUR";"JOAO PESSOA";"PB"
82;"PLASUZE";"JOAO PESSOA";"PB"
85;"PEDRO PALMEIRA";"CABEDELO";"PB"
87;"CARTAO BNDS";"";"PB"
88;"CARTAO MASTER B";"";"PB"
90;"ANDEL TECNOLOGI";"JOAO PESSOA";"PB"
91;"PROJECTA";"CABEDELO";"PB"
92;"VITRIUM IND E C";"CABEDELO";"PB"
93;"LOJA DOS PARAFU";"JOAO PESSOA";"PB"
94;"CASA DA MADEIRA";"CABEDELO";"PB"
95;"NUNES MADEIRAS";"JOAO PESSOA";"PB"
96;"AGA INDUSTRIA E";"LIMEIRA";"SP"
97;"BOB FRETE";"JOAO PESSOA";"PB"
98;"AETC JP";"JOAO PESSOA";"PB"
99;"RICARDO FARDAS";"JOAO PESSOA";"PB"
108;"RICARDO FARDAS";"JOAO PESSOA";"PB"
109;"CORREIOS";"";"PB"
119;"MARCELO FRANCIS";"JOAO PESSOA";"PB"
171;"EDNALDO FIRMINO";"JOAO PESSOA";"PB"
176;"PPA";"JOAO PESSOA";"PB"
185;"FERRO E ACO SER";"FORTALEZA";"CE"
206;"JAILSON FRETES";"GUARULHOS";"SP"
209;"ROCHA COMPENSAD";"CABEDELO - PB";"PB"
214;"JULIO CESAR FER";"CABEDELO";"PB"
311;"LITORAL SUPERME";"CABEDELO";"PB"
333;"ASA BRANCA";"JO�O PESSOA";"PB"
336;"FIDELIS TELECOM";"JO�O PESSOA";"PB"
347;"CAGEPA";"JOAO PESSOA";"PB"
351;"CNC METAL";"Curitiba";"PR"
374;"NORDIFE";"JOAO PESSOA";"PB"
375;"EDILSON DE ANDR";"";"PB"
390;"ATACADAO DAS FE";"JOAO PESSOA";"PB"
396;"JOSE WANDERSON";"";"PB"
433;"METALURGICA J P";"JOAO PESSOA";"PB"
446;"BOSIO MADEIRAS";"JOÃO PESSOA";"PB"
461;"BORRACHARIA TEX";"CABEDELO";"PB"
481;"SILVANA MOLAS";"Sao Paulo";"SP"
