IDPEDIDO;PCOD;QTDVENDA;VLVENDA;PCFOP;MFGES
"V24252C1736";2535;100.000;650.00;"5101";"S"
"V24258C1119";1799;1.000;750.00;"5101";"S"
"V24264C831";5042;63.000;5979.96;"5405";"S"
"V24265C1336";2453;3.000;1740.00;"5101";"S"
"V24265C1336";4787;1.000;330.00;"5101";"S"
"V24266C351";2453;1.000;600.00;"5101";"S"
"V24268C1754";210;1.000;370.00;"5101";"S"
"V24271C831";228;170.000;3751.90;"5101";"S"
"V24272C831";228;170.000;3751.90;"5101";"S"
"V24276C1587";5161;1.000;200.00;"5405";"S"
"V24277C1461";262;20.000;1200.00;"5101";"S"
"V24277C1461";335;20.000;1928.40;"5101";"S"
"V24283C1773";2952;2.000;1200.00;"5101";"S"
"V24259C1775";1390;8.000;3484.56;"5101";"S"
"V24284C1337";291;4.000;6260.32;"5101";"S"
"V24285C1656";1775;2.000;1500.00;"5101";"S"
"V24297C831";4870;30.000;4704.60;"5101";"S"
"V24298C831";4870;30.000;4704.60;"5101";"S"
"V23984C1791";1940;1.000;475.00;"5101";"S"
"V24304C1374";4787;1.000;400.00;"5101";"S"
"V24305C1788";4750;1.000;428.60;"5101";"S"
"V24307C1337";210;1.000;370.00;"5101";"S"
"V24308C1772";309;8.000;5500.00;"5101";"S"
"V24309C1772";309;8.000;5500.00;"5101";"S"
"V24306C777";4525;1.000;80.00;"5101";"S"
"V24306C777";5547;1.000;110.00;"5101";"S"
"V24306C777";4901;6.000;732.00;"5101";"S"
"V24306C777";5277;5.000;630.00;"5101";"S"
"V24306C777";5276;3.000;453.00;"5101";"S"
"V24306C777";346;1.000;151.00;"5101";"S"
"V24306C777";2453;1.000;594.00;"5101";"S"
"V24312C905";347;2.000;314.60;"5101";"S"
"V24312C905";343;1.000;120.00;"5101";"S"
"V24312C905";3821;1.000;400.00;"5101";"S"
"V24311C905";347;2.000;314.60;"5101";"S"
"V24311C905";343;1.000;120.00;"5101";"S"
"V24311C905";3821;1.000;400.00;"5101";"S"
"V24313C782";258;4.000;900.00;"5101";"S"
"V24316C1792";5129;2.000;260.00;"5101";"S"
"V24314C1760";232;4.000;4350.56;"5101";"S"
"V24326C740";5294;20.000;7000.00;"5101";"S"
"V24332C1659";3821;2.000;800.00;"5101";"S"
"V24332C1659";1002;1.000;300.00;"5101";"S"
"V24331C1659";3821;2.000;800.00;"5101";"S"
"V24331C1659";1002;1.000;300.00;"5101";"S"
"V24249C831";5042;93.000;8827.56;"5405";"S"
"V24249C831";228;170.000;3751.90;"5101";"S"
"V24249C831";4870;30.000;4706.10;"5101";"S"
"V24339C831";5042;10.000;949.20;"5405";"S"
